,farmName,avgRating,numReview,createdAt,frequency,totalReviewsLastYear,latestReview,avgRatingLastYear
43,McLauchlans of Boxted fruit farm,4.8,354,2021-11-16T16:08:13,0.0625,65,1.0,4.8
44,Secretts of Milford,4.5,698,2021-11-16T16:11:18,0.15614285714285714,71,0.07,4.4
45,Maynards,4.7,111,2021-11-16T16:12:06,0.17647058823529413,18,1.0,4.7
46,Gray's Farm,4.6,397,2021-11-16T16:14:17,0.08088235294117647,69,0.5,4.7
47,L Wheeler & Sons,4.9,8,2021-11-16T16:14:28,1.0,2,3.0,5.0
48,Ladysden Farm,4.1,21,2021-11-16T16:14:45,1.4642857142857142,8,0.75,4.4
49,Malt Kiln Farm Shop,4.7,485,2021-11-16T16:17:24,0.05525510204081633,197,0.17,4.7
50,The Tacons,4.7,163,2021-11-16T16:18:25,0.15471428571428572,71,0.17,4.6
51,School Farm Soft Fruit,4.8,270,2021-11-16T16:21:05,0.04487179487179487,79,0.5,4.8
52,Essington Farm,4.4,481,2021-11-16T16:23:53,0.061061452513966476,180,0.07,4.4
53,"Foxes Farm Produce - Pumpkin Patch - Colchester, Essex",4.4,145,2021-11-16T16:24:47,0.3205882352941177,35,0.1,4.1
54,New Farm Produce Ltd,4.1,81,2021-11-16T16:25:23,0.45,21,2.0,3.8
55,Daymens Hill Farm,5.0,4,2021-11-16T16:25:35,3.3333333333333335,4,1.0,5.0
56,Little Mountains Farm,4.8,26,2021-11-16T16:25:53,0.7777777777777778,10,3.0,4.9
57,Durleighmarsh Farm,4.6,282,2021-11-16T16:27:38,0.15441176470588236,69,0.5,4.6
58,Stanleys Farm Shop,4.8,100,2021-11-16T16:28:17,0.23214285714285715,43,0.25,4.7
59,Sharnfold Farm,4.4,543,2021-11-16T16:31:10,0.16538461538461538,66,0.25,4.5
60,Pickwell Farm Shop,4.7,1187,2021-11-16T16:33:55,0.07730496453900709,142,0.1,4.7
61,PYO Fruit & Plants,3.0,2,2021-11-16T16:34:05,4.0,2,3.0,3.0
62,Pumpkin Moon,4.6,188,2021-11-16T16:35:22,0.55,11,0.5,4.9
63,Spilmans,4.7,122,2021-11-16T16:36:10,0.16796875,65,0.25,4.7
64,"Goslings Farm Shop, Garden Centre & Cafe",4.3,501,2021-11-16T16:38:54,0.09539130434782608,116,0.03,4.6
65,Peterley Manor Farm,4.5,412,2021-11-16T16:41:13,0.12033333333333333,91,0.17,4.6
66,Littywood Farm,4.4,31,2021-11-16T16:41:33,1.2857142857142858,8,2.0,4.8
67,Eastfield Farm,4.6,417,2021-11-16T16:43:53,0.06165354330708662,128,0.17,4.7
68,Woore Fruit Farm,4.7,307,2021-11-16T16:45:39,0.10298701298701299,78,0.07,4.6
69,Clive's Fruit Farm,4.5,575,2021-11-16T16:48:24,0.10606060606060606,100,0.5,4.4
70,A Pearson & Sons,4.7,55,2021-11-16T16:48:50,0.3333333333333333,4,3.0,5.0
71,Cattows Farm,4.1,506,2021-11-16T16:51:35,0.03749146757679181,294,0.015,4.0
72,Garsons Esher,4.4,2357,2021-11-16T16:54:21,0.041090225563909774,267,0.07,4.5
73,Claremont Farm,4.5,932,2021-11-16T16:57:06,0.09051724137931035,117,0.5,4.6
74,Over Farm,4.5,1276,2021-11-16T16:59:48,0.07387096774193548,94,0.13,4.4
75,Border Berries,4.8,36,2021-11-16T17:00:08,0.5,13,2.0,4.9
76,Trevaskis Farm,4.4,693,2021-11-16T17:02:55,0.04963800904977376,222,0.03,4.3
77,Thorne's Farm Shop,4.6,153,2021-11-16T17:03:54,0.2658536585365854,42,0.1,4.6
78,Bardsley-England,3.9,78,2021-11-16T17:06:44,0.3854166666666667,25,0.75,4.2
79,Farmer Copleys,4.4,2950,2021-11-16T17:09:30,0.04102272727272727,265,0.17,4.5
80,Berry Hill Farm,3.7,39,2021-11-16T17:09:51,1.3,6,0.5,3.8
81,Friday Street Farm Shop & Kitchen,4.3,841,2021-11-16T17:12:37,0.08492187500000001,129,0.13,4.4
82,Maxey's Farm Shop,4.6,217,2021-11-16T17:14:09,0.16044776119402984,68,0.25,4.5
83,Vale Pick Your Own,4.4,88,2021-11-16T17:15:47,0.04573170731707317,83,0.25,4.4
84,Tulleys Pumpkin Farm,4.2,115,2021-11-16T17:16:34,0.11324742268041237,98,0.015,4.2
85,The Balloon Tree Farmshop & Cafe,4.5,1367,2021-11-16T17:19:33,0.0648502994011976,168,0.17,4.3
86,Strawberry Fields Lifton,4.5,1321,2021-11-16T17:22:24,0.06515151515151515,166,0.25,4.3
87,Darts Farm,4.4,3242,2021-11-16T17:25:10,0.044795081967213116,245,0.07,4.3
88,Millets Farm Centre,4.5,2735,2021-11-16T17:27:55,0.04208494208494208,260,0.1,4.5
89,Darts Farm,4.4,3242,2021-11-16T17:36:37,0.044795081967213116,245,0.07,4.3
90,Millets Farm Centre,4.5,2735,2021-11-16T17:39:25,0.04224806201550387,259,0.1,4.5
91,Edible Ornamentals @ Cherwood Nursery,4.9,89,2021-11-16T17:40:07,0.3620689655172414,30,0.5,4.9
92,Vale Pick Your Own,4.4,88,2021-11-16T17:41:23,0.04573170731707317,83,0.25,4.4
93,Mole Country Stores - Stamford,4.4,405,2021-11-16T17:43:38,0.12773255813953488,87,0.015,4.4
94,Hooton's Homegrown Pick Your Own,4.5,52,2021-11-16T17:44:06,0.2112121212121212,34,0.03,4.4
95,Fresh market fruit and vegetables,5.0,2,2021-11-16T17:44:17,0.0,2,0.75,5.0
96,Greenacre Market Garden,4.6,52,2021-11-16T17:44:43,0.25,16,0.25,4.8
97,Tesco Superstore,3.7,364,2021-11-16T17:46:47,0.375,29,0.5,3.8
98,Tesco Superstore,4.0,802,2021-11-16T17:49:29,0.23127659574468085,48,0.13,3.2
99,Farmfoods Ltd,4.3,517,2021-11-16T17:52:12,0.08385496183206106,132,0.015,4.3
100,Craigie's Farm Deli and Cafe,4.4,1962,2021-11-16T17:54:58,0.06213872832369942,174,0.25,4.2
101,Farmfoods Ltd,4.3,876,2021-11-16T17:57:42,0.09808035714285714,113,0.015,4.3
102,Sainsbury's,4.1,2026,2021-11-16T18:00:27,0.05435,201,0.13,4.3
