farmName,avgRating,numReview,createdAt,frequency,totalReviewsLastYear,latestReview,avgRatingLastYear,country,clusterGroup
The Pop Up Farm,4.5,263,2021-11-16T15:04:37,0.1917543859649123,58,0.07,4.5,England,0
Millets Farm PYO,4.5,60,2021-11-16T15:05:05,0.28125,25,0.25,4.3,England,0
Rectory Farm Oxford,4.5,589,2021-11-16T15:07:49,0.07462585034013605,148,0.03,4.7,England,0
Lower Ladysden PYO and Maize Maze.,4.7,214,2021-11-16T15:36:04,0.1535211267605634,72,0.1,4.8,England,0
Grange Farm Harpole PYO and Maize Maze,4.6,272,2021-11-16T15:38:45,0.17647058823529413,18,1.0,4.8,England,0
Milebush Farm Pyo,4.3,71,2021-11-16T15:39:19,0.31666666666666665,13,0.2,4.2,England,0
Pips Pick Your Own,4.5,46,2021-11-16T15:39:43,0.4027777777777778,19,0.75,4.5,England,0
Hawkswick Lodge fruit farm,4.6,117,2021-11-16T15:40:29,0.11764705882352941,35,2.0,4.7,England,2
Poynton Fruit Farm,4.2,23,2021-11-16T15:41:04,0.0,2,4.0,5.0,England,2
"Wymeswold Fruit Farm, K. Mills & Son",4.6,375,2021-11-16T15:43:10,0.06565656565656566,100,0.5,4.6,England,0
West Green Fruits,4.6,59,2021-11-16T15:43:37,0.11764705882352941,18,2.0,4.8,England,2
Horsforth Pick Your Own,4.7,223,2021-11-16T15:45:33,0.09469827586206896,117,0.015,4.8,England,0
Scaddows Farm Shop & PYO,4.6,307,2021-11-16T15:47:19,0.175,41,3.0,4.7,England,2
Goodall's Strawberries,4.7,83,2021-11-16T15:47:56,0.25,21,2.0,4.7,England,2
Lenctenbury Farm,4.6,60,2021-11-16T15:48:24,0.34444444444444444,10,0.9,4.5,England,0
"Spilman's Cafe, Pick Your Own Pumpkins and Farm Shop",4.6,349,2021-11-16T15:50:21,0.19589285714285715,57,0.03,4.6,England,0
Lathcoats Farm,4.6,854,2021-11-16T15:53:06,0.10092592592592593,109,0.1,4.7,England,0
Graveley Fruit Farm,4.3,300,2021-11-16T15:55:48,0.0855072463768116,70,0.1,4.4,England,0
Cammas Hall Farm,4.5,934,2021-11-16T15:58:32,0.08036764705882353,137,0.07,4.5,England,0
Kenyon Hall Farm,4.4,1737,2021-11-16T16:01:17,0.04976851851851852,217,0.25,4.6,England,0
Ansty P Y O & Farmshop,4.5,110,2021-11-16T16:03:59,0.38821428571428573,29,0.13,4.4,England,0
Cat & Fiddle Farm & Café,4.6,299,2021-11-16T16:05:41,0.09953703703703703,109,0.25,4.7,England,0
Hatter's Farm PYO Pumpkin,4.6,48,2021-11-16T16:06:06,0.3036111111111111,37,0.07,4.6,England,0
McLauchlans of Boxted fruit farm,4.8,354,2021-11-16T16:08:13,0.0625,65,1.0,4.8,England,0
Secretts of Milford,4.5,698,2021-11-16T16:11:18,0.15614285714285714,71,0.07,4.4,England,0
Maynards,4.7,111,2021-11-16T16:12:06,0.17647058823529413,18,1.0,4.7,England,0
Gray's Farm,4.6,397,2021-11-16T16:14:17,0.08088235294117647,69,0.5,4.7,England,0
L Wheeler & Sons,4.9,8,2021-11-16T16:14:28,1.0,2,3.0,5.0,England,2
Ladysden Farm,4.1,21,2021-11-16T16:14:45,1.4642857142857142,8,0.75,4.4,England,0
Malt Kiln Farm Shop,4.7,485,2021-11-16T16:17:24,0.05525510204081633,197,0.17,4.7,England,0
The Tacons,4.7,163,2021-11-16T16:18:25,0.15471428571428572,71,0.17,4.6,England,0
School Farm Soft Fruit,4.8,270,2021-11-16T16:21:05,0.04487179487179487,79,0.5,4.8,England,0
Essington Farm,4.4,481,2021-11-16T16:23:53,0.061061452513966476,180,0.07,4.4,England,0
"Foxes Farm Produce - Pumpkin Patch - Colchester, Essex",4.4,145,2021-11-16T16:24:47,0.3205882352941177,35,0.1,4.1,England,0
New Farm Produce Ltd,4.1,81,2021-11-16T16:25:23,0.45,21,2.0,3.8,England,1
Daymens Hill Farm,5.0,4,2021-11-16T16:25:35,3.3333333333333335,4,1.0,5.0,England,0
Little Mountains Farm,4.8,26,2021-11-16T16:25:53,0.7777777777777778,10,3.0,4.9,England,2
Durleighmarsh Farm,4.6,282,2021-11-16T16:27:38,0.15441176470588236,69,0.5,4.6,England,0
Stanleys Farm Shop,4.8,100,2021-11-16T16:28:17,0.23214285714285715,43,0.25,4.7,England,0
Sharnfold Farm,4.4,543,2021-11-16T16:31:10,0.16538461538461538,66,0.25,4.5,England,0
Pickwell Farm Shop,4.7,1187,2021-11-16T16:33:55,0.07730496453900709,142,0.1,4.7,England,0
PYO Fruit & Plants,3.0,2,2021-11-16T16:34:05,4.0,2,3.0,3.0,England,1
Pumpkin Moon,4.6,188,2021-11-16T16:35:22,0.55,11,0.5,4.9,England,0
Spilmans,4.7,122,2021-11-16T16:36:10,0.16796875,65,0.25,4.7,England,0
"Goslings Farm Shop, Garden Centre & Cafe",4.3,501,2021-11-16T16:38:54,0.09539130434782608,116,0.03,4.6,England,0
Peterley Manor Farm,4.5,412,2021-11-16T16:41:13,0.12033333333333333,91,0.17,4.6,England,0
Littywood Farm,4.4,31,2021-11-16T16:41:33,1.2857142857142858,8,2.0,4.8,England,2
Eastfield Farm,4.6,417,2021-11-16T16:43:53,0.06165354330708662,128,0.17,4.7,England,0
Woore Fruit Farm,4.7,307,2021-11-16T16:45:39,0.10298701298701299,78,0.07,4.6,England,0
Clive's Fruit Farm,4.5,575,2021-11-16T16:48:24,0.10606060606060606,100,0.5,4.4,England,0
A Pearson & Sons,4.7,55,2021-11-16T16:48:50,0.3333333333333333,4,3.0,5.0,England,2
Cattows Farm,4.1,506,2021-11-16T16:51:35,0.03749146757679181,294,0.015,4.0,England,0
Garsons Esher,4.4,2357,2021-11-16T16:54:21,0.041090225563909774,267,0.07,4.5,England,0
Claremont Farm,4.5,932,2021-11-16T16:57:06,0.09051724137931035,117,0.5,4.6,England,0
Over Farm,4.5,1276,2021-11-16T16:59:48,0.07387096774193548,94,0.13,4.4,England,0
Border Berries,4.8,36,2021-11-16T17:00:08,0.5,13,2.0,4.9,England,2
Trevaskis Farm,4.4,693,2021-11-16T17:02:55,0.04963800904977376,222,0.03,4.3,England,0
Thorne's Farm Shop,4.6,153,2021-11-16T17:03:54,0.2658536585365854,42,0.1,4.6,England,0
Bardsley-England,3.9,78,2021-11-16T17:06:44,0.3854166666666667,25,0.75,4.2,England,0
Farmer Copleys,4.4,2950,2021-11-16T17:09:30,0.04102272727272727,265,0.17,4.5,England,0
Berry Hill Farm,3.7,39,2021-11-16T17:09:51,1.3,6,0.5,3.8,England,1
Friday Street Farm Shop & Kitchen,4.3,841,2021-11-16T17:12:37,0.08492187500000001,129,0.13,4.4,England,0
Maxey's Farm Shop,4.6,217,2021-11-16T17:14:09,0.16044776119402984,68,0.25,4.5,England,0
Vale Pick Your Own,4.4,88,2021-11-16T17:15:47,0.04573170731707317,83,0.25,4.4,England,0
Tulleys Pumpkin Farm,4.2,115,2021-11-16T17:16:34,0.11324742268041237,98,0.015,4.2,England,0
The Balloon Tree Farmshop & Cafe,4.5,1367,2021-11-16T17:19:33,0.0648502994011976,168,0.17,4.3,England,0
Strawberry Fields Lifton,4.5,1321,2021-11-16T17:22:24,0.06515151515151515,166,0.25,4.3,England,0
Darts Farm,4.4,3242,2021-11-16T17:25:10,0.044795081967213116,245,0.07,4.3,England,0
Millets Farm Centre,4.5,2735,2021-11-16T17:27:55,0.04208494208494208,260,0.1,4.5,England,0
Darts Farm,4.4,3242,2021-11-16T17:36:37,0.044795081967213116,245,0.07,4.3,England,0
Millets Farm Centre,4.5,2735,2021-11-16T17:39:25,0.04224806201550387,259,0.1,4.5,England,0
Edible Ornamentals @ Cherwood Nursery,4.9,89,2021-11-16T17:40:07,0.3620689655172414,30,0.5,4.9,England,0
Vale Pick Your Own,4.4,88,2021-11-16T17:41:23,0.04573170731707317,83,0.25,4.4,England,0
Mole Country Stores - Stamford,4.4,405,2021-11-16T17:43:38,0.12773255813953488,87,0.015,4.4,England,0
Hooton's Homegrown Pick Your Own,4.5,52,2021-11-16T17:44:06,0.2112121212121212,34,0.03,4.4,England,0
Fresh market fruit and vegetables,5.0,2,2021-11-16T17:44:17,0.0,2,0.75,5.0,England,0
Greenacre Market Garden,4.6,52,2021-11-16T17:44:43,0.25,16,0.25,4.8,England,0
Tesco Superstore,3.7,364,2021-11-16T17:46:47,0.375,29,0.5,3.8,England,1
Tesco Superstore,4.0,802,2021-11-16T17:49:29,0.23127659574468085,48,0.13,3.2,England,1
Farmfoods Ltd,4.3,517,2021-11-16T17:52:12,0.08385496183206106,132,0.015,4.3,England,0
Craigie's Farm Deli and Cafe,4.4,1962,2021-11-16T17:54:58,0.06213872832369942,174,0.25,4.2,England,0
Farmfoods Ltd,4.3,876,2021-11-16T17:57:42,0.09808035714285714,113,0.015,4.3,England,0
Sainsbury's,4.1,2026,2021-11-16T18:00:27,0.05435,201,0.13,4.3,England,0
Clarke's Family Farm,4.8,31,2021-11-18T21:40:59,0.05,6,0.75,4.3,America,0
Larriland Farm Inc,4.6,908,2021-11-18T21:43:56,0.08709677419354839,125,0.2,4.6,America,0
Terhune Orchards Pick Your Own,4.2,209,2021-11-18T21:45:17,0.17435897435897435,40,0.2,4.2,America,0
Alstede Farms,4.3,3425,2021-11-18T21:48:00,0.43333333333333335,10,0.1,4.8,America,0
Phillips Farms,4.5,130,2021-11-18T21:48:50,0.2421875,33,0.25,4.5,America,0
Lyman Orchard Pick Your Own,4.5,42,2021-11-18T21:49:13,0.6016666666666667,19,0.17,4.7,America,0
Baugher's Orchards & Farm,4.5,1000,2021-11-18T21:51:58,0.09972477064220182,110,0.13,4.7,America,0
Walnut Spring Farm Seasonal Fruit picking,4.6,16,2021-11-18T21:52:13,0.0,2,4.0,5.0,America,2
Fishkill Farms,4.4,1476,2021-11-18T21:54:57,0.08464566929133858,128,0.25,4.4,America,0
H Strawberry FARM,4.5,24,2021-11-18T21:55:16,0.45454545454545453,12,4.0,4.6,America,2
Fix Bros Fruit Farm,4.9,57,2021-11-18T21:55:45,0.375,9,1.0,5.0,America,0
Fram place,4.9,27,2021-11-18T21:56:12,0.8,6,5.0,5.0,America,2
Homestead Farm,4.5,724,2021-11-18T21:58:54,0.08082706766917293,134,0.25,4.7,America,0
Eastmont Orchards,4.4,364,2021-11-18T22:01:00,0.1360759493670886,80,0.25,4.5,America,0
Wegmeyer Farm - Oatland Strawberry Picking,4.7,47,2021-11-18T22:01:25,0.12,26,3.0,4.9,America,2
Tougas Family Farm,4.6,1572,2021-11-18T22:04:09,0.07573426573426574,144,0.17,4.5,America,0
Brecknock Orchard,4.7,476,2021-11-18T22:06:53,0.10792079207920792,102,0.1,4.7,America,0
Brecknock Orchard,4.7,476,2021-11-18T22:09:38,0.10283018867924529,107,0.1,4.8,America,0
Slow Farm,4.7,55,2021-11-18T22:10:07,0.3076923076923077,14,1.0,4.6,America,0
"Belkin Family Lookout Farm - U-Pick Fruit, Dining & Market",3.7,556,2021-11-18T22:12:48,0.07169117647058823,137,0.25,3.7,America,1
Lawrence Farms Orchards,4.2,966,2021-11-18T22:15:33,0.10546875,65,0.25,4.0,America,1
Jollisant Farms,4.6,99,2021-11-18T22:18:14,0.47368421052631576,20,2.0,4.8,America,2
Condzella's Farm,4.3,12,2021-11-18T22:18:29,1.5,3,5.0,3.7,America,2
Ort Farms,4.6,638,2021-11-18T22:21:11,0.09587719298245614,115,0.07,4.5,America,0
Greig Farm,4.7,328,2021-11-18T22:23:02,0.09862385321100918,110,0.25,4.7,America,0
Underwood Family Farms,4.6,380,2021-11-18T22:25:45,0.11813186813186813,92,0.25,4.6,America,0
Grim's Orchard & Family Farms,4.2,1122,2021-11-18T22:28:29,0.07413793103448275,146,0.25,3.3,America,1
Underwood Family Farms,4.7,3038,2021-11-18T22:31:14,0.03800699300699301,287,0.13,4.5,America,0
Saunderskill Farms,4.7,138,2021-11-18T22:32:07,0.28125,25,0.25,4.7,America,0
Great Country Farms,4.6,1037,2021-11-18T22:34:50,0.11315789473684211,96,0.25,4.6,America,0
Demarest Farms,3.9,836,2021-11-18T22:37:34,0.09478260869565218,116,0.1,3.7,America,1
Brecknock Orchard,4.7,476,2021-11-18T22:40:15,0.10283018867924529,107,0.1,4.8,America,0
Slow Farm,4.7,55,2021-11-18T22:40:44,0.3076923076923077,14,1.0,4.6,America,0
"Belkin Family Lookout Farm - U-Pick Fruit, Dining & Market",3.7,556,2021-11-18T22:43:26,0.07169117647058823,137,0.25,3.7,America,1
Lawrence Farms Orchards,4.2,966,2021-11-18T22:46:08,0.10074626865671642,68,0.25,4.0,America,1
Jollisant Farms,4.6,99,2021-11-18T22:48:47,0.47368421052631576,20,2.0,4.8,America,2
Condzella's Farm,4.3,12,2021-11-18T22:49:00,1.5,3,5.0,3.7,America,2
Ort Farms,4.6,638,2021-11-18T22:51:41,0.09587719298245614,115,0.07,4.5,America,0
Greig Farm,4.7,328,2021-11-18T22:53:32,0.09862385321100918,110,0.25,4.7,America,0
Underwood Family Farms,4.6,380,2021-11-18T22:56:13,0.11813186813186813,92,0.25,4.6,America,0
Grim's Orchard & Family Farms,4.2,1122,2021-11-18T22:58:56,0.07413793103448275,146,0.25,3.3,America,1
Underwood Family Farms,4.7,3038,2021-11-18T23:01:36,0.09962025316455697,80,0.13,4.6,America,0
Saunderskill Farms,4.7,138,2021-11-18T23:02:27,0.28125,25,0.25,4.7,America,0
Great Country Farms,4.6,1037,2021-11-18T23:05:11,0.11197916666666667,97,0.25,4.6,America,0
Demarest Farms,3.9,836,2021-11-18T23:07:52,0.09478260869565218,116,0.1,3.7,America,1
Battleview Orchards,4.6,1304,2021-11-18T23:10:34,0.08234848484848484,133,0.13,4.4,America,0
Wards Berry Farm,4.5,444,2021-11-18T23:13:03,0.08074074074074074,136,0.1,4.6,America,0
Blessington Farms,4.4,468,2021-11-18T23:15:39,0.14844594594594593,75,0.015,4.6,America,0
Johnson's Farm Produce,4.4,782,2021-11-18T23:18:22,0.04748603351955307,180,0.5,4.7,America,0
Sweet Berry Farm,4.6,306,2021-11-18T23:21:03,0.14493333333333336,76,0.13,4.6,America,0
Lyman Orchards Farm Store at the Apple Barrel,4.4,754,2021-11-18T23:23:55,0.1096938775510204,99,0.25,4.6,America,0
Johnson's Corner Farm,4.5,2572,2021-11-18T23:26:38,0.0443089430894309,247,0.1,4.6,America,0
Jones Family Farms,4.3,279,2021-11-18T23:28:22,0.12951807228915663,84,0.25,4.2,America,0
Schuster's Farm,4.6,606,2021-11-18T23:31:05,0.06245454545454546,111,0.13,4.6,America,0
Full Belly Farm,4.9,35,2021-11-18T23:31:26,0.14285714285714285,15,3.0,4.8,America,2
Bachman Blueberries,5.0,33,2021-11-18T23:31:46,0.2857142857142857,8,3.0,5.0,America,2
Adam's Berry Farm,4.7,33,2021-11-18T23:32:05,0.18181818181818182,12,3.0,5.0,America,2
Phillips Farms Market,4.9,100,2021-11-18T23:32:44,0.14635135135135136,75,0.17,4.9,America,0
Trax Farms Market,4.5,835,2021-11-18T23:35:38,0.09598214285714286,113,0.25,4.7,America,0
Florida Best Blueberry Farm,4.9,61,2021-11-18T23:36:07,0.09090909090909091,12,6.0,5.0,America,2
Cider Hill Farm,4.8,1066,2021-11-18T23:38:51,0.11052631578947368,96,0.5,4.6,America,0
Shuqualak Blueberry Farm,4.6,23,2021-11-18T23:39:09,0.0,3,4.0,5.0,America,2
Little Hill Berry Farm,5.0,22,2021-11-18T23:39:26,0.16666666666666666,7,3.0,5.0,America,2
Terhune Orchards,4.4,1177,2021-11-18T23:42:08,0.09513274336283185,114,0.25,4.3,America,0
Patterson Farm Market & Tours Inc,4.6,857,2021-11-18T23:44:51,0.08744,126,0.07,4.6,America,0
Stonehaven Farm Market,4.2,272,2021-11-18T23:46:34,0.07471264367816093,88,0.5,4.5,America,0
March Farm,4.7,317,2021-11-18T23:48:21,0.17467741935483871,63,0.17,4.8,America,0
Libby & Son U Picks,4.7,294,2021-11-18T23:50:17,0.05067567567567568,75,0.25,4.5,America,0
Downey's Farm Market,4.5,1825,2021-11-18T23:53:00,0.03840989399293286,284,0.13,4.4,America,0
Washington Farms,4.7,809,2021-11-18T23:55:44,0.06577844311377246,168,0.015,4.7,America,0
3D Blueberry Farm,4.6,14,2021-11-18T23:55:58,0.25,5,4.0,4.8,America,2
Glade Link Farms,4.6,41,2021-11-18T23:56:20,0.25,9,3.0,4.7,America,2
Morris Organic Farm,4.6,22,2021-11-18T23:56:37,1.0,2,3.0,4.5,America,2
Moon Farms Country Market,4.9,32,2021-11-18T23:56:57,0.15384615384615385,14,5.0,4.9,America,2
Donaldson Farms Farm Market,4.6,526,2021-11-18T23:59:38,0.12686567164179105,68,0.5,4.6,America,0
Shady Brook Farm,4.6,3675,2021-11-19T00:02:22,0.0314121037463977,348,0.1,4.6,America,0
Indian Ladder Farms,4.6,1491,2021-11-19T00:05:06,0.06836477987421384,160,0.13,4.7,America,0
Waldoch Farm,4.7,267,2021-11-19T00:07:13,0.14912280701754385,58,0.5,4.8,America,0
Brooks Farms,4.4,1164,2021-11-19T00:09:55,0.06967948717948719,157,0.13,4.2,America,0
"Puddicombe Farms, Winery & Cider",3.7,338,2021-11-19T00:12:09,0.1513888888888889,73,0.1,3.8,America,1
West Wind Fruit Farm,4.8,77,2021-11-19T00:12:42,0.1125,21,0.75,4.9,America,0
Ingram Farm,4.8,291,2021-11-19T00:15:23,0.07058823529411765,86,1.0,4.8,America,0
Forsythe Family Farms 2009 Inc,4.6,192,2021-11-19T00:16:33,0.3416666666666667,31,0.75,4.8,America,0
Applecrest Farm Orchards,4.5,1209,2021-11-19T00:19:22,0.12078651685393259,90,0.25,4.7,America,0
Bottom View Farm - Restaurant,4.4,254,2021-11-19T00:22:03,0.15,66,0.25,4.6,America,0
Critz Farms and Critz Farms Brewing & Cider Co.,4.6,231,2021-11-19T00:24:11,0.17796610169491525,60,0.5,4.6,America,0
Bishop's Orchards Farm Market & Winery,4.6,617,2021-11-19T00:26:54,0.12134831460674159,90,0.2,4.6,America,0
Girls Gone Wine,4.6,234,2021-11-19T00:28:54,0.16223880597014925,68,0.13,4.5,America,0
NRS - National Roper's Supply,4.7,884,2021-11-19T00:31:39,0.061931818181818185,177,0.1,4.6,America,0
Sprouts Farmers Market,4.5,639,2021-11-19T00:34:23,0.10352380952380953,106,0.13,4.3,America,0
Whole Foods Market,4.4,799,2021-11-19T00:37:07,0.09794642857142856,113,0.03,4.6,America,0
Eataly Dallas,4.4,1104,2021-11-19T00:39:49,0.0218436873747495,500,0.1,4.1,America,0
Central Market,4.6,3135,2021-11-19T00:42:33,0.03105413105413105,352,0.1,4.7,America,0
Central Market,4.6,1848,2021-11-19T00:45:16,0.043480000000000005,251,0.13,4.5,America,0
The Fresh Market,4.5,480,2021-11-19T00:47:57,0.13670886075949368,80,0.2,4.5,America,0
"Liberty Mutual Insurance - St Louis A, MO",2.7,87,2021-11-19T00:48:32,0.27564102564102566,40,0.25,2.8,America,1
Felderland PYO 'Pick Your Own' Farm,4.6,329,2021-11-19T00:50:22,0.08823529411764706,120,0.5,4.7,America,0
Grove Farm Pick Your Own,4.7,148,2021-11-19T00:51:15,0.35719999999999996,26,0.07,4.8,America,0
Crockford Bridge Pick Your Own Farm,4.2,1380,2021-11-19T00:53:54,0.2107843137254902,52,0.25,3.4,America,1
"Sopley Farm Shop, PYO & Bakery",4.6,463,2021-11-19T00:56:36,0.08886178861788617,124,0.07,4.5,America,0
Rectory Farm Oxford,4.5,589,2021-11-19T00:59:19,0.07414965986394557,148,0.1,4.7,America,0
Millets Farm PYO,4.5,60,2021-11-19T00:59:47,0.28125,25,0.25,4.3,America,0
Hill Farm PYO and Farm Shop,4.8,414,2021-11-19T01:02:28,0.03803149606299212,128,0.17,4.9,America,0
Cammas Hall Farm,4.5,934,2021-11-19T01:05:10,0.0799264705882353,137,0.13,4.5,America,0
Rutin mansikkatila,4.1,15,2021-11-19T12:37:37,1.0,5,3.0,4.4,Finland,2
Ylirautian tila,4.6,29,2021-11-19T12:37:54,0.3333333333333333,7,2.0,4.3,Finland,2
Marjatila Tyrnikka,4.5,17,2021-11-19T12:38:10,0.75,5,1.0,4.6,Finland,0
Karvonmaan Marjatila,5.0,2,2021-11-19T12:38:33,2.0,2,2.0,5.0,Finland,2
Myllykylän Mansikka,4.5,168,2021-11-19T12:39:34,0.14285714285714285,50,3.0,4.5,Finland,2
Taipaluksen Tila,4.8,10,2021-11-19T12:39:54,1.0,3,3.0,5.0,Finland,2
Särkilammin Marjatila,4.3,3,2021-11-19T12:40:14,0.5,3,3.0,4.3,Finland,2
Jokisen mansikkatila,4.2,6,2021-11-19T12:40:34,3.5,3,4.0,5.0,Finland,2
Strawberry Farm Santanen,4.4,32,2021-11-19T12:41:04,0.375,9,3.0,4.4,Finland,2
Yrjölän marjatila,4.4,521,2021-11-19T12:43:57,0.08696000000000001,126,0.13,4.4,Finland,0
Mattilan Marjatila Oy,4.4,89,2021-11-19T12:44:33,0.19047619047619047,22,2.0,4.5,Finland,2
Kolarinpellon marjatila,5.0,10,2021-11-19T12:44:53,2.0,4,1.0,5.0,Finland,0
Yrjölän marjatila,4.4,521,2021-11-19T12:47:47,0.08696000000000001,126,0.13,4.4,Finland,0
Strawberry Farm Santanen,4.4,32,2021-11-19T12:48:06,0.375,9,3.0,4.4,Finland,2
Mäkelän Mansikka mty,3.9,16,2021-11-19T12:48:20,0.0,3,4.0,2.7,Finland,1
Alanteen Tila,4.4,21,2021-11-19T12:48:37,0.0,6,4.0,4.2,Finland,2
Matti Koivistoisen Mansikkaviljelmät,4.2,16,2021-11-19T12:48:51,0.5357142857142857,8,0.25,4.5,Finland,0
Marjatila Juhmo,4.2,20,2021-11-19T12:49:15,0.0,3,4.0,3.7,Finland,2
Iso-Hiiden Kartano oy,4.4,70,2021-11-19T12:49:43,0.1,11,3.0,4.3,Finland,2
Heimalan mansikkatila,4.4,27,2021-11-19T12:49:59,1.1666666666666667,7,3.0,4.1,Finland,2
Stone Trench Strawberry Farm,5.0,6,2021-11-19T12:50:10,0.3333333333333333,4,3.0,5.0,Finland,2
Illilä Farm,4.5,47,2021-11-19T12:50:32,0.42857142857142855,15,3.0,4.5,Finland,2
"Koivistoisen Mansikkapaikka, Vantaa",4.3,361,2021-11-19T12:53:22,0.05139175257731958,98,0.015,4.4,Finland,0
Aholammen Tila,4.6,31,2021-11-19T12:53:42,0.4,6,2.0,4.5,Finland,2
Vilppulan tila,4.7,89,2021-11-19T12:54:16,0.1631578947368421,20,0.9,4.8,Finland,0
Kankaisten Tila,4.4,236,2021-11-19T12:55:40,0.12,51,1.0,4.4,Finland,0
Kuusamon Mansikkatila,4.8,8,2021-11-19T12:55:50,2.0,2,2.0,5.0,Finland,2
Niitty-Seppälän tila,4.4,117,2021-11-19T12:56:33,0.037037037037037035,28,3.0,4.4,Finland,2
Peltosirkun marjatila,4.4,37,2021-11-19T12:56:56,0.6666666666666666,7,2.0,4.1,Finland,2
Viljanen Marko Tapio,4.4,10,2021-11-19T12:57:07,2.6666666666666665,4,3.0,4.2,Finland,2
Ainankallion mansikkatila,4.8,18,2021-11-19T12:57:22,0.0,2,3.0,5.0,Finland,2
Suutalan mansikkatalo,4.8,18,2021-11-19T12:58:16,0.3333333333333333,4,3.0,4.8,Finland,2
Suttisen tila,4.6,362,2021-11-19T13:00:21,0.05511811023622047,128,1.0,4.5,Finland,0
Ari Kuorttinen,4.5,4,2021-11-19T13:00:50,3.0,2,1.0,5.0,Finland,0
Hauhtosen Tila,4.7,19,2021-11-19T13:01:03,0.25,5,3.0,4.8,Finland,2
Joenrannan Mansikkapaikka,4.6,19,2021-11-19T13:01:29,0.3333333333333333,16,2.0,4.7,Finland,2
Saksan tila,4.4,57,2021-11-19T13:01:59,0.47058823529411764,18,3.0,4.4,Finland,2
Rantamarjat,4.6,23,2021-11-19T13:02:53,0.7625,9,0.9,4.6,Finland,0
Kesäpihan Puutarha,4.5,22,2021-11-19T13:03:21,0.4,6,2.0,4.8,Finland,2
Nenosen Mansikkatila,4.8,52,2021-11-19T13:03:46,0.25,5,3.0,4.8,Finland,2
Annin Marjatarha - mansikka- ja marjatila Etelä-Pohjanmaalla,4.8,64,2021-11-19T13:04:29,0.1,21,2.0,4.6,Finland,2
Hakolan marjatila,4.8,22,2021-11-19T13:04:56,0.8,6,1.0,4.7,Finland,0
Myllylammen marjatila,4.2,13,2021-11-19T13:05:21,0.5,5,2.0,4.0,Finland,1
Marja - ja vihannestila Jarmo Valtari,4.7,82,2021-11-19T13:06:10,0.1,11,3.0,4.8,Finland,2
Niitty-Seppälän kesätori,4.1,84,2021-11-19T13:06:56,0.13333333333333333,16,3.0,4.4,Finland,2
Vierula Status,4.6,33,2021-11-19T13:07:17,1.0,5,2.0,4.8,Finland,2
Yrjänä's Strawberry Farm,4.8,21,2021-11-19T13:07:34,0.8571428571428571,8,3.0,4.8,Finland,2
RUHALAN KARTANO RUHALAN MANSIKKA,4.8,5,2021-11-19T13:07:44,2.8,2,0.2,5.0,Finland,0
Ruskeasuon Siirtolapuutarha Ry,4.7,6,2021-11-19T13:08:09,0.8,6,1.0,4.7,Finland,0
